Long;Lat
50.783;6.083
48.833;10.100
50.233;8.083
49.250;10.967
48.817;11.850
49.150;10.883
49.067;9.283
49.550;8.783
47.633;9.717
53.017;9.033
48.967;12.933
48.267;9.900
54.783;9.033
48.767;9.600
51.583;9.750
52.567;10.067
48.950;10.000
48.833;11.217
49.717;10.900
49.400;9.400
49.433;10.183
48.433;10.717
50.383;6.933
52.383;10.450
53.283;10.450
52.000;9.933
48.550;12.267
50.321;12.257
50.755;12.880
52.050;9.267
48.917;9.317
48.467;10.983
50.963;12.091
49.350;8.983
48.533;12.467
52.083;7.017
53.067;9.317
53.672;14.188
52.767;9.550
51.767;7.883
53.400;9.450
51.546;11.474
51.367;9.400
52.617;10.283
52.267;9.100
48.950;12.467
48.733;12.917
49.500;9.533
50.233;10.950
49.850;11.433
50.483;6.983
53.667;10.233
54.017;10.567
54.245;12.594
48.667;13.300
48.467;11.133
48.233;10.550
48.267;8.400
47.883;10.050
48.633;9.267
48.767;9.383
48.567;13.083
50.150;10.433
48.683;8.900
48.700;11.717
48.517;10.967
47.817;12.950
48.500;10.450
48.850;12.617
47.950;10.083
47.817;10.533
51.856;12.043
47.600;8.133
54.150;9.283
48.700;9.567
49.217;8.033
49.767;10.167
49.783;8.117
49.650;8.100
48.217;9.033
50.900;6.283
48.583;13.083
48.100;8.700
48.850;10.617
48.200;10.383
50.050;7.133
48.850;9.717
49.433;11.550
51.983;9.833
52.500;7.950
50.733;7.017
52.250;9.967
51.033;9.667
51.033;8.667
50.683;8.817
47.717;9.067
49.250;11.233
48.433;11.600
48.133;11.300
48.333;9.733
48.917;9.467
51.404;11.388
52.033;9.967
50.633;7.867
48.333;8.467
49.733;8.633
50.783;7.883
50.883;6.167
49.733;7.817
50.750;9.267
49.767;8.350
51.702;11.674
54.367;9.650
52.947;12.847
48.717;9.383
48.550;12.117
48.633;9.000
49.383;11.350
51.654;14.041
48.917;12.200
51.300;7.667
50.517;6.983
51.800;10.450
51.767;8.950
50.761;13.768
52.050;7.467
49.833;9.400
50.995;12.446
50.367;7.983
49.800;11.017
50.564;10.963
49.550;7.467
51.165;10.583
54.400;10.117
49.450;7.317
50.683;7.650
54.133;10.833
50.133;11.250
48.000;12.533
53.133;10.600
48.467;10.583
48.600;9.217
47.817;10.867
48.167;10.117
50.283;8.950
49.717;12.167
48.583;8.600
49.100;12.300
53.697;13.254
52.000;11.537
49.717;9.750
48.450;12.167
48.233;11.067
48.150;9.450
48.583;10.033
48.717;8.800
48.917;9.567
52.567;13.727
49.517;8.067
49.300;8.500
48.900;11.650
50.966;12.949
48.383;11.250
49.950;6.917
49.433;8.500
47.950;9.550
47.800;10.217
48.233;12.683
53.783;9.917
50.083;9.067
49.750;8.117
49.450;11.850
53.133;10.217
47.983;12.317
48.550;8.967
49.417;10.850
53.700;10.200
49.433;11.767
49.650;9.217
48.250;12.417
48.583;9.883
47.700;9.750
50.800;8.917
47.967;11.183
50.433;7.417
49.233;8.783
50.817;8.450
47.800;12.867
53.016;14.007
52.360;11.735
53.856;13.692
52.550;7.867
50.580;13.011
51.736;13.049
51.560;13.903
49.200;7.967
51.567;8.333
49.300;10.583
50.649;13.261
50.783;9.200
48.150;11.850
52.283;9.333
53.217;7.817
53.433;9.617
51.025;11.511
53.400;9.750
53.667;9.750
49.933;8.033
48.533;7.983
49.150;10.617
48.533;11.300
47.667;9.933
49.967;7.600
49.817;8.067
49.133;13.000
52.677;12.008
51.400;8.067
49.283;12.817
51.096;14.000
50.580;13.120
50.833;10.955
49.983;9.967
48.567;12.817
51.383;9.017
49.200;13.000
51.365;11.287
53.383;10.483
50.383;7.750
50.067;12.183
51.530;13.127
50.083;6.283
50.667;7.433
48.683;10.817
49.000;12.633
49.967;9.150
48.200;12.350
47.783;12.317
51.783;7.617
54.150;10.350
51.759;11.451
48.167;11.717
52.767;9.000
53.300;9.983
48.967;9.400
48.900;9.133
49.433;9.683
50.583;8.467
48.000;12.000
51.133;7.900
48.500;11.767
48.133;9.700
48.900;12.483
51.917;11.594
48.950;8.233
48.567;11.750
49.550;10.067
51.498;12.842
50.587;12.717
48.933;9.500
48.800;13.100
50.518;12.402
50.688;12.913
49.700;11.633
52.233;9.233
48.867;12.283
49.883;11.233
47.783;7.600
48.367;10.900
51.917;8.750
51.138;13.904
50.814;13.101
52.400;9.283
54.083;9.783
47.950;9.633
50.702;11.899
53.533;10.317
50.183;9.583
49.250;10.417
49.583;10.833
53.467;7.483
52.092;11.112
48.733;13.200
53.350;8.767
47.967;11.783
49.633;6.550
48.400;10.767
53.767;9.050
49.467;10.850
50.683;12.493
51.750;13.958
51.904;11.768
52.417;10.617
51.417;9.400
52.399;11.299
48.733;8.733
50.300;8.267
51.057;11.710
52.817;8.117
52.349;13.000
53.757;10.935
49.500;8.033
51.550;7.317
52.633;10.083
49.217;12.667
49.200;12.750
50.830;12.917
47.900;12.533
47.867;12.400
49.267;7.683
50.741;13.489
50.938;12.888
51.800;10.333
49.050;9.033
52.933;10.950
52.850;8.050
50.267;10.967
50.150;7.167
51.933;7.167
52.321;11.608
51.138;12.798
49.783;9.333
49.350;10.417
50.911;13.493
50.950;13.377
49.250;7.433
52.117;9.550
51.050;9.867
51.089;13.632
51.126;13.577
51.888;12.442
50.906;13.971
51.766;14.335
49.133;10.067
50.514;12.993
50.782;10.791
49.467;10.033
52.250;10.650
49.850;11.633
51.055;10.243
50.817;12.388
51.741;13.761
53.580;11.646
50.757;12.493
51.080;14.471
51.241;14.250
50.521;12.949
50.557;13.007
51.099;14.529
53.867;8.700
50.709;13.500
50.850;8.783
50.733;7.967
48.267;11.433
49.650;10.700
47.717;8.100
54.733;8.717
50.383;6.550
51.365;13.000
53.200;10.750
52.326;13.443
51.872;13.428
54.217;11.083
49.150;7.783
47.717;9.267
52.539;13.083
49.867;9.333
54.583;9.983
52.433;10.917
53.100;11.100
49.433;8.317
53.897;12.859
49.867;8.650
48.383;11.050
51.800;9.683
53.500;10.383
53.911;10.981
51.650;7.350
50.550;7.300
48.083;8.550
50.200;6.833
50.333;7.767
50.867;8.550
48.650;8.817
52.037;10.888
52.700;10.500
51.867;9.600
48.833;12.967
47.783;9.400
48.600;9.717
49.400;8.183
48.183;8.783
49.217;11.533
48.867;10.567
53.533;9.450
48.250;10.333
48.067;8.600
48.717;9.383
51.767;8.567
51.525;12.337
49.233;7.483
51.950;9.800
53.050;8.633
51.149;14.254
53.908;13.047
48.700;9.317
48.933;11.467
48.117;8.733
47.917;10.850
52.150;10.617
49.150;10.417
48.067;7.883
51.874;10.907
50.718;10.123
50.533;7.050
50.467;7.783
52.967;7.283
52.100;9.817
51.835;12.236
53.217;7.683
51.933;8.883
49.800;10.167
48.617;9.100
49.167;8.417
47.617;8.483
48.533;9.350
48.117;10.117
48.617;9.450
52.167;10.667
51.112;12.072
49.033;11.900
53.200;10.433
50.633;13.493
50.615;13.467
51.117;12.435
50.317;7.467
49.900;8.833
48.350;10.783
52.100;9.933
49.283;8.733
51.367;8.800
51.483;9.017
49.833;8.350
52.417;8.733
52.600;8.367
51.202;13.445
50.550;7.667
51.433;12.043
49.600;10.633
47.950;11.100
48.217;10.067
49.400;10.683
48.500;12.933
49.550;10.533
49.033;11.583
48.200;8.650
47.817;10.283
47.850;11.583
50.017;8.783
50.833;8.317
50.367;8.017
50.733;8.283
48.583;10.500
49.350;6.733
51.979;10.974
51.317;10.319
48.633;12.500
49.900;10.383
49.067;10.317
48.350;10.600
52.667;8.117
51.567;6.733
50.550;9.800
50.892;13.674
48.000;10.500
49.567;8.250
48.700;10.367
52.117;8.200
51.766;14.390
51.837;11.201
50.083;10.217
50.954;14.897
49.750;8.233
49.050;10.783
51.039;13.993
50.759;13.014
48.833;9.067
48.800;8.500
51.628;13.563
51.154;14.401
47.617;8.167
50.959;13.862
53.283;7.233
53.533;9.550
48.867;11.067
49.250;10.283
50.150;7.400
51.642;12.886
47.950;8.500
49.033;12.217
48.717;10.783
49.967;10.417
49.267;7.650
48.683;9.817
50.670;12.841
48.267;12.150
50.936;13.565
49.783;9.383
51.100;6.833
49.600;11.117
50.500;8.017
50.842;Okt 91
48.350;8.517
48.467;9.950
48.467;8.500
53.650;7.433
53.683;7.483
51.667;6.967
51.517;7.467
53.683;8.567
49.450;8.667
48.233;8.800
49.100;13.017
53.417;10.267
52.683;9.217
53.617;8.750
51.500;9.767
50.677;13.022
52.650;8.417
51.656;14.231
50.017;8.700
49.933;6.817
51.800;7.733
52.750;8.567
51.050;13.739
50.633;8.183
53.717;9.383
51.033;7.783
51.044;12.033
53.766;13.788
49.967;6.633
49.317;8.383
51.517;10.267
49.117;11.933
52.000;9.700
51.433;6.767
48.217;8.500
53.600;7.650
47.700;10.333
48.500;8.017
48.850;9.800
48.933;8.267
48.450;9.050
54.433;10.133
51.124;13.118
51.615;14.599
50.283;11.950
51.484;13.592
51.408;12.025
51.353;12.199
53.138;11.250
52.033;9.000
50.283;11.000
50.734;13.337
52.967;7.317
52.850;9.233
49.383;9.717
52.933;8.383
51.833;7.283
50.267;7.167
52.917;8.633
48.050;8.800
50.800;6.483
48.117;9.533
48.650;9.633
51.050;14.621
48.467;10.433
49.117;10.383
51.030;14.007
51.233;6.783
51.291;10.750
49.983;10.683
48.683;11.467
50.067;10.950
49.467;8.983
48.883;8.967
51.567;10.100
48.000;9.833
49.400;11.950
49.783;11.183
50.100;10.800
50.467;7.767
51.011;14.596
51.094;13.099
51.243;13.658
48.717;9.517
47.983;9.583
48.083;11.967
50.658;12.442
50.450;9.783
51.080;14.699
50.217;11.067
49.183;9.317
52.830;13.813
49.567;8.117
48.583;8.683
49.950;11.933
49.850;10.500
47.967;7.783
50.733;8.867
53.033;10.417
48.300;11.617
48.500;12.067
48.083;11.117
50.400;8.883
50.915;14.831
49.583;11.250
54.467;9.833
49.933;11.500
53.950;9.133
51.695;11.931
49.583;11.700
52.383;10.267
49.283;8.133
51.217;9.450
51.150;9.117
49.267;8.133
53.133;7.983
50.100;7.167
49.450;8.617
49.667;11.100
47.650;7.567
51.943;11.433
49.967;8.667
48.567;8.617
48.283;11.167
53.200;10.067
54.617;9.383
48.400;12.767
49.100;8.383
47.917;10.517
52.567;7.817
52.539;13.822
53.683;14.081
47.700;8.400
48.533;13.067
49.767;11.067
47.933;12.383
48.717;13.267
47.933;11.517
48.183;10.983
49.700;11.250
48.000;11.800
48.633;11.100
49.083;10.550
48.283;9.733
48.667;8.933
52.567;10.783
50.993;14.152
50.500;10.000
52.750;8.700
50.647;12.971
47.917;7.750
50.600;8.383
50.982;14.681
49.733;10.000
50.495;12.601
49.750;8.400
48.167;11.317
52.170;11.399
49.700;9.333
48.633;12.850
50.500;9.683
48.100;7.750
48.900;11.183
52.376;13.629
51.945;11.670
52.550;10.183
47.867;8.900
51.454;12.623
51.986;11.037
52.149;11.205
52.083;9.717
47.633;7.600
51.883;9.783
52.967;10.317
51.817;9.867
49.667;8.550
50.771;12.975
51.767;10.183
48.050;12.233
50.977;10.315
47.950;8.267
50.972;11.899
49.567;8.067
49.883;10.167
52.151;14.634
50.431;10.910
48.950;8.667
49.767;9.833
51.532;11.543
48.700;9.700
50.383;7.717
48.817;11.317
50.767;9.800
50.767;7.450
48.367;11.900
52.083;10.267
51.773;10.802
50.500;8.067
48.933;8.217
48.450;10.100
53.229;11.418
52.683;10.350
50.150;9.967
50.702;10.854
50.733;7.883
50.486;12.391
49.017;10.217
53.750;9.917
53.667;9.867
49.467;8.267
49.150;9.317
49.067;10.967
51.587;10.659
48.967;10.133
48.333;10.317
53.767;10.267
54.218;13.063
53.750;9.650
49.350;7.933
50.933;6.567
53.250;9.350
54.267;9.533
49.850;9.167
53.233;8.467
51.612;12.926
52.539;13.000
50.610;12.167
51.144;12.232
51.461;13.522
51.225;14.136
50.583;12.870
49.967;10.683
50.033;8.133
51.050;10.948
50.417;8.033
48.167;8.067
52.117;9.733
49.400;9.200
53.183;10.350
53.367;7.200
54.267;9.850
54.817;8.700
50.150;7.567
48.117;7.850
51.833;6.250
48.000;12.050
48.183;11.283
48.200;12.767
47.933;8.850
48.400;8.717
52.400;7.283
52.167;7.533
49.550;10.717
51.250;9.267
52.833;8.150
52.933;8.967
48.150;7.700
47.900;12.300
52.800;8.917
48.117;12.550
48.833;8.650
51.330;12.478
50.983;7.417
49.467;11.400
47.850;8.767
52.133;8.567
48.383;9.283
48.483;9.267
49.483;7.900
49.983;7.133
51.300;7.367
51.833;8.033
49.350;11.933
51.483;7.967
48.667;8.467
49.333;8.917
48.250;8.600
49.400;6.967
49.400;8.633
49.117;7.567
50.800;13.228
49.950;8.850
49.133;8.917
48.167;10.517
50.133;8.400
48.333;9.900
49.667;9.000
49.833;12.050
51.475;11.630
48.300;11.900
48.950;9.300
50.821;13.076
48.333;11.300
48.083;11.017
54.317;9.317
50.800;6.767
50.986;11.022
49.167;7.817
49.517;10.333
48.583;12.167
48.700;12.200
48.300;13.150
47.633;9.533
51.083;6.317
48.567;9.433
48.033;10.350
52.424;13.754
51.217;6.917
50.516;12.793
49.867;9.850
49.600;11.000
51.007;12.934
48.300;12.783
50.314;12.377
49.167;9.267
49.800;9.167
49.817;9.633
48.067;9.983
50.167;8.983
49.017;9.100
51.729;11.351
50.983;8.250
48.733;11.567
48.100;10.067
50.583;7.233
48.100;9.467
51.617;8.333
52.220;11.243
49.950;8.633
48.883;9.867
49.817;9.250
47.883;7.650
50.150;8.567
48.250;8.467
53.467;10.317
52.733;10.233
49.317;8.867
48.650;9.667
49.750;11.833
50.817;8.333
47.600;11.183
51.933;9.633
49.300;12.917
51.183;10.050
50.817;6.267
53.650;7.617
54.733;9.783
49.583;12.517
51.267;8.167
52.383;8.633
51.400;9.467
49.850;9.533
51.467;7.017
52.717;7.933
48.617;12.217
49.933;8.167
48.817;10.033
49.233;8.167
48.750;9.300
49.833;10.017
53.000;7.633
49.383;7.983
52.583;9.133
53.583;9.200
47.567;11.100
48.250;7.817
48.950;8.417
48.100;10.650
50.367;7.217
51.048;13.184
49.633;12.100
50.835;13.022
50.067;10.133
50.150;10.017
47.850;11.400
48.333;11.083
50.667;6.783
49.983;9.817
54.133;10.617
48.483;8.733
51.933;7.850
52.183;10.717
52.100;9.117
52.700;8.550
52.783;9.217
50.333;7.700
54.500;9.583
49.433;9.150
53.950;10.250
48.350;11.567
50.860;13.112
48.467;12.733
51.589;13.243
52.803;13.955
51.397;12.871
52.569;13.102
49.100;12.483
50.477;12.370
52.867;9.700
50.741;10.116
47.533;11.117
50.940;10.391
51.429;11.565
52.900;10.167
49.783;9.450
52.814;12.761
49.783;7.800
50.367;11.933
47.950;11.300
50.650;9.167
53.339;13.427
47.867;8.050
54.300;9.933
48.150;11.733
48.833;12.533
47.900;11.833
49.767;6.783
48.817;9.283
54.417;10.067
51.133;9.417
49.417;12.050
53.667;13.888
50.550;8.783
49.383;11.217
49.167;10.333
50.000;11.850
49.067;10.217
48.983;9.717
48.683;9.217
53.250;7.633
51.167;7.967
48.017;11.017
48.650;10.500
52.846;13.679
48.217;11.833
50.837;10.594
51.633;13.713
53.167;9.667
48.283;10.650
49.733;7.400
49.083;7.717
47.717;11.950
49.767;8.817
47.467;10.267
48.283;8.117
49.400;10.517
50.517;10.150
54.483;9.700
49.100;9.217
54.783;9.433
50.417;9.567
54.250;10.067
47.717;12.133
50.755;10.486
49.783;8.033
50.317;8.867
49.717;12.283
49.733;12.350
48.300;8.483
50.865;13.065
50.133;9.483
50.017;8.433
49.650;8.200
52.083;10.467
54.300;9.600
48.683;8.367
48.167;7.700
49.717;11.050
49.283;9.567
49.150;8.583
51.750;14.647
48.183;11.983
48.167;11.917
49.767;8.183
50.067;9.467
50.991;12.917
51.100;8.933
50.911;13.036
51.067;8.800
49.083;9.983
49.433;7.983
49.533;8.350
50.117;8.683
52.342;14.545
51.310;11.931
54.188;12.879
47.800;12.283
48.983;13.300
51.388;13.471
48.033;12.050
48.367;12.000
50.709;12.359
50.917;6.817
49.067;8.117
51.933;9.900
53.533;9.400
52.523;13.754
49.800;7.900
48.167;7.917
50.917;13.348
48.933;9.200
53.833;9.283
48.000;7.850
51.587;13.966
50.433;9.400
54.733;9.500
50.150;9.117
49.633;11.900
47.850;12.983
49.500;8.217
49.550;7.250
48.400;11.750
52.633;8.650
50.998;13.652
52.200;10.917
48.967;10.450
49.817;10.867
52.483;7.550
49.483;11.983
49.750;9.317
50.900;7.883
49.550;6.533
48.467;8.417
49.017;9.067
51.216;11.768
53.289;12.358
49.200;11.333
48.800;13.550
48.600;9.367
49.667;10.100
47.817;9.267
48.017;8.933
48.000;12.833
48.350;10.983
50.333;8.767
53.450;7.833
49.450;8.217
49.883;12.100
47.917;8.250
51.021;14.581
51.649;12.366
50.717;7.967
50.883;9.867
51.417;9.917
53.672;13.554
50.860;10.572
50.250;8.650
50.686;12.563
47.650;9.483
51.599;14.570
54.017;8.900
54.383;9.083
49.333;7.100
52.796;13.280
50.983;9.333
52.743;12.576
50.900;7.800
48.367;7.883
47.867;10.533
53.017;7.867
48.833;8.833
48.133;8.717
51.133;9.283
51.057;12.554
50.585;12.989
50.700;8.700
47.867;9.583
48.550;12.533
51.798;11.373
51.483;7.767
49.933;12.150
50.117;9.933
47.933;10.833
50.550;9.683
51.267;9.500
51.350;9.533
48.583;12.033
48.050;8.200
49.467;8.300
49.867;6.767
51.894;11.630
48.833;10.767
49.783;7.900
52.517;7.683
51.733;9.400
53.181;13.142
48.183;11.267
48.717;13.333
52.356;14.068
48.517;13.317
49.483;10.983
49.650;8.783
50.783;7.667
47.567;10.700
